No.,Timestamp,Sequence Number,Attribute,Status,Data Type,Data Value
1,1778330486,232,Active Power,Success,16-Bit Signed Integer,0
2,1778330486,232,RMS Current,Success,16-Bit Unsigned Integer,0
3,1778330486,232,RMS Voltage,Success,16-Bit Unsigned Integer,219
4,1778330494,22,Active Power,Success,16-Bit Signed Integer,0
5,1778330494,22,RMS Current,Success,16-Bit Unsigned Integer,0
6,1778330494,22,RMS Voltage,Success,16-Bit Unsigned Integer,218
7,1778330514,10,Active Power,Success,16-Bit Signed Integer,0
8,1778330514,10,RMS Current,Success,16-Bit Unsigned Integer,0
9,1778330514,10,RMS Voltage,Success,16-Bit Unsigned Integer,222
10,1778330603,117,Active Power,Success,16-Bit Signed Integer,0
11,1778330603,117,RMS Current,Success,16-Bit Unsigned Integer,0
12,1778330603,117,RMS Voltage,Success,16-Bit Unsigned Integer,219
13,1778330612,196,Active Power,Success,16-Bit Signed Integer,0
14,1778330612,196,RMS Current,Success,16-Bit Unsigned Integer,0
15,1778330612,196,RMS Voltage,Success,16-Bit Unsigned Integer,222
16,1778330616,216,Active Power,Success,16-Bit Signed Integer,0
17,1778330616,216,RMS Current,Success,16-Bit Unsigned Integer,0
18,1778330616,216,RMS Voltage,Success,16-Bit Unsigned Integer,220
19,1778330651,34,Active Power,Success,16-Bit Signed Integer,0
20,1778330651,34,RMS Current,Success,16-Bit Unsigned Integer,0
21,1778330651,34,RMS Voltage,Success,16-Bit Unsigned Integer,220
22,1778330658,250,Active Power,Success,16-Bit Signed Integer,0
23,1778330658,250,RMS Current,Success,16-Bit Unsigned Integer,0
24,1778330658,250,RMS Voltage,Success,16-Bit Unsigned Integer,220
25,1778330673,147,Active Power,Success,16-Bit Signed Integer,0
26,1778330673,147,RMS Current,Success,16-Bit Unsigned Integer,0
27,1778330673,147,RMS Voltage,Success,16-Bit Unsigned Integer,218
