No.,Source,Destination,Cost
1,0x3d95,0x0000,1
2,0x3d95,0x0112,7
3,0x3d95,0x1cd8,1
4,0x3d95,0x1e15,1
5,0x3d95,0x4e11,3
6,0x3d95,0xa706,5
7,0x3d95,0xe1a6,1
8,0x3d95,0xec7f,1
9,0x1e15,0x0000,1
10,0x1e15,0x1cd8,1
11,0x1e15,0x3d95,1
12,0x1e15,0x4e11,3
13,0x1e15,0xe1a6,1
14,0x1e15,0xec7f,1
15,0x1e15,0xa706,7
16,0xe1a6,0x0000,1
17,0xe1a6,0x0112,7
18,0xe1a6,0x1cd8,1
19,0xe1a6,0x1e15,1
20,0xe1a6,0x3d95,1
21,0xe1a6,0x4e11,1
22,0xe1a6,0xa706,5
23,0xe1a6,0xec7f,1
24,0x1cd8,0x0000,1
25,0x1cd8,0x0112,3
26,0x1cd8,0x1e15,1
27,0x1cd8,0x3d95,1
28,0x1cd8,0x4e11,3
29,0x1cd8,0xa706,2
30,0x1cd8,0xe1a6,1
31,0x1cd8,0xec7f,1
32,0xec7f,0x0000,1
33,0xec7f,0x0112,7
34,0xec7f,0x1cd8,1
35,0xec7f,0x1e15,1
36,0xec7f,0x3d95,1
37,0xec7f,0x4e11,1
38,0xec7f,0xa706,5
39,0xec7f,0xe1a6,1
40,0x4e11,0x0000,1
41,0x4e11,0x0112,7
42,0x4e11,0x1cd8,1
43,0x4e11,0x1e15,3
44,0x4e11,0x3d95,2
45,0x4e11,0xa706,0
46,0x4e11,0xe1a6,1
47,0x4e11,0xec7f,1
48,0xa706,0x0000,1
49,0xa706,0x0112,1
50,0xa706,0x1cd8,1
51,0xa706,0x1e15,7
52,0xa706,0x3d95,7
53,0xa706,0xe1a6,5
54,0xa706,0xec7f,1
55,0x0000,0x0112,7
56,0x0000,0x1cd8,1
57,0x0000,0x1e15,3
58,0x0000,0x3d95,3
59,0x0000,0x4e11,3
60,0x0000,0xa706,5
61,0x0000,0xe1a6,1
62,0x0000,0xec7f,1
63,0x0112,0x0000,1
64,0x0112,0x1cd8,1
65,0x0112,0x1e15,0
66,0x0112,0x3d95,7
67,0x0112,0x4e11,3
68,0x0112,0xa706,2
69,0x0112,0xe1a6,7
70,0x0112,0xec7f,1
