No.,Timestamp,Sequence Number,Attribute,Status,Data Type,Data Value
1,1777909334,122,Active Power,Success,Unknown Type,0
2,1777909334,122,RMS Current,Success,Unknown,0
3,1777909334,122,RMS Voltage,Success,Unknown,0

4,1777909335,101,Active Power,Success,16-Bit Signed Integer,0
5,1777909335,101,RMS Current,Success,16-Bit Unsigned Integer,0
6,1777909335,101,RMS Voltage,Success,16-Bit Unsigned Integer,220

7,1777909340,247,Active Power,Success,Unknown Type,0
8,1777909340,247,RMS Current,Success,Unknown,0
9,1777909340,247,RMS Voltage,Success,Unknown,0

10,1777909341,38,Active Power,Success,16-Bit Signed Integer,0
11,1777909341,38,RMS Current,Success,16-Bit Unsigned Integer,0
12,1777909341,38,RMS Voltage,Success,16-Bit Unsigned Integer,222

13,1777909350,70,Active Power,Success,16-Bit Signed Integer,0
14,1777909350,70,RMS Current,Success,16-Bit Unsigned Integer,0
15,1777909350,70,RMS Voltage,Success,16-Bit Unsigned Integer,219

16,1777909361,43,Active Power,Success,Unknown Type,0
17,1777909361,43,RMS Current,Success,Unknown,0
18,1777909361,43,RMS Voltage,Success,Unknown,0

19,1777909376,56,Active Power,Success,Unknown Type,0
20,1777909376,56,RMS Current,Success,Unknown,0
21,1777909376,56,RMS Voltage,Success,Unknown,0

22,1777909387,25,Active Power,Success,Unknown Type,0
23,1777909387,25,RMS Current,Success,Unknown,0
24,1777909387,25,RMS Voltage,Success,Unknown,0

25,1777909393,230,Active Power,Success,Unknown Type,0
26,1777909393,230,RMS Current,Success,Unknown,0
27,1777909393,230,RMS Voltage,Success,Unknown,0

28,1777909395,58,RMS Voltage,Success,16-Bit Unsigned Integer,220

29,1777909397,126,Active Power,Success,Unknown Type,0
30,1777909397,126,RMS Current,Success,Unknown,0
31,1777909397,126,RMS Voltage,Success,Unknown,0

32,1777909400,241,Active Power,Success,Unknown Type,0
33,1777909400,241,RMS Current,Success,Unknown,0
34,1777909400,241,RMS Voltage,Success,Unknown,0

35,1777909401,11,Active Power,Success,Unknown Type,0
36,1777909401,11,RMS Current,Success,Unknown,0
37,1777909401,11,RMS Voltage,Success,Unknown,0

38,1777909405,218,Active Power,Success,16-Bit Signed Integer,0
39,1777909405,218,RMS Current,Success,16-Bit Unsigned Integer,0
40,1777909405,218,RMS Voltage,Success,16-Bit Unsigned Integer,223

41,1777909422,222,Active Power,Success,Unknown Type,0
42,1777909422,222,RMS Current,Success,Unknown,0
43,1777909422,222,RMS Voltage,Success,Unknown,0

44,1777909423,230,Active Power,Success,Unknown Type,0
45,1777909423,230,RMS Current,Success,Unknown,0
46,1777909423,230,RMS Voltage,Success,Unknown,0

47,1777909425,170,Active Power,Success,16-Bit Signed Integer,0
48,1777909425,170,RMS Current,Success,16-Bit Unsigned Integer,0
49,1777909425,170,RMS Voltage,Success,16-Bit Unsigned Integer,221

50,1777909426,62,Active Power,Success,Unknown Type,0
51,1777909426,62,RMS Current,Success,Unknown,0
52,1777909426,62,RMS Voltage,Success,Unknown,0

53,1777909439,150,Active Power,Success,Unknown Type,0
54,1777909439,150,RMS Current,Success,Unknown,0
55,1777909439,150,RMS Voltage,Success,Unknown,0

56,1777909442,236,Active Power,Success,16-Bit Signed Integer,0
57,1777909442,236,RMS Current,Success,16-Bit Unsigned Integer,0
58,1777909442,236,RMS Voltage,Success,16-Bit Unsigned Integer,220

59,1777909469,220,Active Power,Success,Unknown Type,0
60,1777909469,220,RMS Current,Success,Unknown,0
61,1777909469,220,RMS Voltage,Success,Unknown,0

62,1777909471,236,Active Power,Success,Unknown Type,0
63,1777909471,236,RMS Current,Success,Unknown,0
64,1777909471,236,RMS Voltage,Success,Unknown,0

65,1777909474,122,RMS Voltage,Success,16-Bit Unsigned Integer,221

66,1777909475,42,RMS Voltage,Success,16-Bit Unsigned Integer,222

67,1777909484,153,Active Power,Success,16-Bit Signed Integer,0
68,1777909484,153,RMS Current,Success,16-Bit Unsigned Integer,0
69,1777909484,153,RMS Voltage,Success,16-Bit Unsigned Integer,223

70,1777909491,180,Active Power,Success,Unknown Type,0
71,1777909491,180,RMS Current,Success,Unknown,0
72,1777909491,180,RMS Voltage,Success,Unknown,0

73,1777909506,73,RMS Current,Success,16-Bit Unsigned Integer,0

74,1777909508,251,Active Power,Success,Unknown Type,0
75,1777909508,251,RMS Current,Success,Unknown,0
76,1777909508,251,RMS Voltage,Success,Unknown,0

77,1777909523,160,Active Power,Success,16-Bit Signed Integer,0
78,1777909523,160,RMS Current,Success,16-Bit Unsigned Integer,0
79,1777909523,160,RMS Voltage,Success,16-Bit Unsigned Integer,220

80,1777909528,169,RMS Voltage,Success,16-Bit Unsigned Integer,221

