No.,Source,Destination,Cost
1,0x3d95,0x0000,1
2,0x3d95,0x0112,7
3,0x3d95,0x1cd8,1
4,0x3d95,0x1e15,1
5,0x3d95,0x4e11,3
6,0x3d95,0xa706,5
7,0x3d95,0xe1a6,1
8,0x3d95,0xec7f,1
9,0xe1a6,0x0000,1
10,0xe1a6,0x0112,7
11,0xe1a6,0x1cd8,1
12,0xe1a6,0x1e15,1
13,0xe1a6,0x3d95,1
14,0xe1a6,0x4e11,1
15,0xe1a6,0xa706,5
16,0xe1a6,0xec7f,1
17,0x1cd8,0x0000,1
18,0x1cd8,0x0112,3
19,0x1cd8,0x1e15,1
20,0x1cd8,0x3d95,1
21,0x1cd8,0x4e11,3
22,0x1cd8,0xa706,3
23,0x1cd8,0xe1a6,1
24,0x1cd8,0xec7f,1
25,0x0000,0x0112,7
26,0x0000,0x1cd8,1
27,0x0000,0x1e15,3
28,0x0000,0x3d95,3
29,0x0000,0x4e11,3
30,0x0000,0xa706,5
31,0x0000,0xe1a6,1
32,0x0000,0xec7f,1
33,0xec7f,0x0000,1
34,0xec7f,0x0112,7
35,0xec7f,0x1cd8,1
36,0xec7f,0x1e15,1
37,0xec7f,0x3d95,1
38,0xec7f,0x4e11,1
39,0xec7f,0xa706,5
40,0xec7f,0xe1a6,1
41,0x1e15,0x0000,1
42,0x1e15,0x1cd8,1
43,0x1e15,0x3d95,1
44,0x1e15,0x4e11,3
45,0x1e15,0xe1a6,1
46,0x1e15,0xec7f,1
47,0x1e15,0xa706,7
48,0x0112,0x0000,1
49,0x0112,0x1cd8,1
50,0x0112,0x1e15,0
51,0x0112,0x3d95,7
52,0x0112,0x4e11,3
53,0x0112,0xa706,3
54,0x0112,0xe1a6,7
55,0x0112,0xec7f,1
56,0x4e11,0x0000,1
57,0x4e11,0x0112,7
58,0x4e11,0x1cd8,1
59,0x4e11,0x1e15,3
60,0x4e11,0x3d95,2
61,0x4e11,0xa706,0
62,0x4e11,0xe1a6,1
63,0x4e11,0xec7f,1
64,0xa706,0x0000,1
65,0xa706,0x0112,3
66,0xa706,0x1cd8,1
67,0xa706,0x1e15,7
68,0xa706,0x3d95,7
69,0xa706,0xe1a6,7
70,0xa706,0xec7f,1

